filename,fc,ml,cc
DropKeyspaceStatement.java,3,16,7
DropTableStatement.java,2,14,15
DropTriggerStatement.java,3,14,6
DropTypeStatement.java,4,64,23
DropViewStatement.java,3,16,7
SchemaAlteringStatement.java,4,66,20
CQL3Type.java,9,397,163
MD5Digest.java,4,38,9
TableMetrics.java,18,291,86
DataLimits.java,11,982,237
SelectOrderByTest.java,4,170,72
DeletionTime.java,2,3,23
TypeTest.java,2,42,4
DropTest.java,2,50,2
IndexNotAvailableException.java,2,51,1
SecondaryIndex.java,1,28,33
CommitLogReplayer.java,22,1201,109
ChecksummedRandomAccessReader.java,4,241,2
init,3,6,0
GossipingPropertyFileSnitch.java,1,107,22
PropertyFileSnitch.java,4,102,34
SnitchProperties.java,2,9,6
YamlFileNetworkTopologySnitch.java,2,115,49
GossipingPropertyFileSnitchTest.java,2,44,3
PropertyFileSnitchTest.java,3,330,20
YamlFileNetworkTopologySnitchTest.java,1,293,25
cqlsh.py,55,1351,458
cqlshrc.sample,12,303,0
rules,5,17,0
helptopics.py,2,1082,52
Schema.java,16,258,88
MigrationListener.java,1,4,18
Server.java,14,195,94
CacheService.java,6,40,68
LegacySSTableTest.java,21,1047,80
StressProfile.java,16,575,118
DeleteStatement.java,5,77,20
DeleteTest.java,16,715,90
cassandra-driver-internal-only-3.0.0-6af642d.zip,2,0,0
cassandra-driver-internal-only-3.0.0a3.post0-c535450.zip,1,0,0
test_cqlsh_completion.py,12,217,37
test_cqlsh_output.py,9,277,77
cassandra-driver-internal-only-3.0.0a3.post0-3f15725.zip,1,0,0
BufferedDataOutputStreamPlus.java,2,42,61
DataOutputBufferFixed.java,6,19,5
SafeMemoryWriter.java,5,40,15
DataOutputTest.java,5,422,44
CompressedSequentialWriter.java,7,82,34
SequentialWriter.java,6,106,72
Range.java,8,179,101
RangeTest.java,7,324,49
RangeTombstone.java,7,183,37
SSTableIdentityIterator.java,4,174,25
Keyspace1-Standard3-jb-1-Summary.db,2,0,0
Keyspace1-StandardInteger1-ka-2-CRC.db,1,0,0
Keyspace1-StandardInteger1-ka-2-Data.db,1,0,0
Keyspace1-StandardInteger1-ka-2-Digest.sha1,1,1,0
Keyspace1-StandardInteger1-ka-2-Filter.db,1,0,0
Keyspace1-StandardInteger1-ka-2-Index.db,1,0,0
Keyspace1-StandardInteger1-ka-2-Statistics.db,1,0,0
Keyspace1-StandardInteger1-ka-2-Summary.db,2,0,0
Keyspace1-StandardInteger1-ka-2-TOC.txt,1,8,0
StreamingTransferTest.java,5,78,24
AnticompactionTask.java,4,114,24
nodetool,6,89,0
sstablescrub,3,23,0
sstableupgrade,3,57,0
sstableutil,1,7,0
sstableverify,1,9,0
cassandra-stress,3,83,0
